nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
        40  2.544355392E-01  2.872889638E-01 -1.812046319E-01  2.571594611E-06 -7.813646503E-05 -6.363543009E-06  1.963262735E-04  1.604981071E-04 -1.812046319E-01  2.872889638E-01  2.544355392E-01 
        41  2.547416091E-01  2.887833416E-01 -1.811772436E-01 -1.360349895E-01 -2.068979794E-01  2.763549264E-01  3.745739077E-01 -1.710680714E+00 -1.811772436E-01  2.887833416E-01  2.547416091E-01 
        42  2.544236779E-01  2.872039974E-01 -1.811679453E-01 -2.609420878E-05 -2.818578342E-05  1.675300460E-06  1.045556048E-04  8.870561059E-05 -1.811679453E-01  2.872039974E-01  2.544236779E-01 
        43  2.545608580E-01  2.885637581E-01 -1.811639667E-01 -5.655265311E-02 -3.841705244E-02  8.827284752E-02  1.356644629E-01 -1.236257181E+00 -1.811639667E-01  2.885637581E-01  2.545608580E-01 
        44  2.544348240E-01  2.873640656E-01 -1.811604649E-01  1.661460436E-05  9.083939067E-05 -1.738827443E-06  5.793798479E-04  8.772915206E-04 -1.811604649E-01  2.873640656E-01  2.544348240E-01 
        45  2.545480430E-01  2.880811393E-01 -1.811568886E-01  1.407778510E-02  6.941896640E-02  4.262193098E-03  7.380980116E-02 -2.219156979E-01 -1.811568886E-01  2.880811393E-01  2.545480430E-01 
        46  2.553293109E-01  2.889391184E-01 -1.811437756E-01 -6.320203131E-02 -9.226341760E-02 -3.334781748E-02  1.388573408E-01 -7.305980350E-01 -1.811437756E-01  2.889391184E-01  2.553293109E-01 
        47  2.548701465E-01  2.890313566E-01 -1.811410785E-01 -1.562673199E-01 -3.316668402E-01  3.671301815E-01  5.235223002E-01 -2.320058292E+00 -1.811410785E-01  2.890313566E-01  2.548701465E-01 
        48  2.551291883E-01  2.889624536E-01 -1.811297685E-01 -5.741831076E-02 -1.515079461E-01  1.368608723E-01  2.203580606E-01 -1.501259799E+00 -1.811297685E-01  2.889624536E-01  2.551291883E-01 
        49  2.544563115E-01  2.892095447E-01 -1.811271459E-01 -5.256272113E-02 -5.956312681E-01  4.178575284E-01  7.454773571E-01 -1.095747382E+00 -1.811271459E-01  2.892095447E-01  2.544563115E-01 
